,delta_da,label,counts,score,dC,dH,dN,dO
0,0.0363855093500014,C+1 H+4 O-1,"{'C': 1, 'H': 4, 'O': -1}",32.026214748490005,1,4,0,-1
1,0.0727710187000028,C+2 H+8 O-2,"{'C': 2, 'H': 8, 'O': -2}",64.05242949698001,2,8,0,-2
2,1.00782503223,H+1,{'H': 1},1.00782503223,0,1,0,0
3,1.9428790457600016,C+2 H+6 O-2,"{'C': 2, 'H': 6, 'O': -2}",62.03677943252,2,6,0,-2
4,1.9792645551099997,C+1 H+2 O-1,"{'C': 1, 'H': 2, 'O': -1}",30.01056468403,1,2,0,-1
5,2.01565006446,H+2,{'H': 2},2.01565006446,0,2,0,0
6,2.0520355738099987,C+1 H+6 O-1,"{'C': 1, 'H': 6, 'O': -1}",34.041864812949996,1,6,0,-1
7,3.958529110219999,C+2 H+4 O-2,"{'C': 2, 'H': 4, 'O': -2}",60.02112936806,2,4,0,-2
8,3.99491461957,C+1 O-1,"{'C': 1, 'O': -1}",27.99491461957,1,0,0,-1
9,4.03130012892,H+4,{'H': 4},4.03130012892,0,4,0,0
10,4.06768563827,C+1 H+8 O-1,"{'C': 1, 'H': 8, 'O': -1}",36.05751487741,1,8,0,-1
11,5.97417917468,C+2 H+2 O-2,"{'C': 2, 'H': 2, 'O': -2}",58.0054793036,2,2,0,-2
12,5.989435315969999,C+2 H-2 O-1,"{'C': 2, 'H': -2, 'O': -1}",42.01056468403,2,-2,0,-1
13,6.010564684030001,C+1 H-2 O-1,"{'C': 1, 'H': -2, 'O': -1}",30.01056468403,1,-2,0,-1
14,6.04695019338,H+6,{'H': 6},6.04695019338,0,6,0,0
15,7.96869987108,C+1 H-4,"{'C': 1, 'H': -4}",16.03130012892,1,-4,0,0
16,7.98982923914,C+2 O-2,"{'C': 2, 'O': -2}",55.98982923914,2,0,0,-2
17,8.00508538043,C+2 O-1,"{'C': 2, 'O': -1}",39.99491461957,2,0,0,-1
18,8.02621474849,C+1 H-4 O-1,"{'C': 1, 'H': -4, 'O': -1}",32.026214748490005,1,-4,0,-1
19,8.041470889780001,C+3 H+4 O-2,"{'C': 3, 'H': 4, 'O': -2}",72.02112936806,3,4,0,-2
20,8.06260025784,H+8,{'H': 8},8.06260025784,0,8,0,0
21,9.94796442619,H+6 O-1,"{'H': 6, 'O': -1}",22.04186481295,0,6,0,-1
22,9.98434993554,C+1 H-2,"{'C': 1, 'H': -2}",14.01565006446,1,-2,0,0
23,10.02073544489,C+2 H+2 O-1,"{'C': 2, 'H': 2, 'O': -1}",42.01056468403,2,2,0,-1
24,10.057120954239998,C+3 H+6 O-2,"{'C': 3, 'H': 6, 'O': -2}",74.03677943252,3,6,0,-2
25,11.96361449065,H+4 O-1,"{'H': 4, 'O': -1}",20.02621474849,0,4,0,-1
26,12.0,C+1,{'C': 1},12.0,1,0,0,0
27,12.03638550935,C+2 H+4 O-1,"{'C': 2, 'H': 4, 'O': -1}",44.026214748490005,2,4,0,-1
28,12.072771018700005,C+3 H+8 O-2,"{'C': 3, 'H': 8, 'O': -2}",76.05242949698001,3,8,0,-2
29,13.942879045760002,C+1 H+6 O-2,"{'C': 1, 'H': 6, 'O': -2}",50.03677943252,1,6,0,-2
30,13.97926455511,H+2 O-1,"{'H': 2, 'O': -1}",18.01056468403,0,2,0,-1
31,14.01565006446,C+1 H+2,"{'C': 1, 'H': 2}",14.01565006446,1,2,0,0
32,14.05203557381,C+2 H+6 O-1,"{'C': 2, 'H': 6, 'O': -1}",46.041864812949996,2,6,0,-1
33,15.95852911022,C+1 H+4 O-2,"{'C': 1, 'H': 4, 'O': -2}",48.02112936806,1,4,0,-2
34,15.99491461957,O+1,{'O': 1},15.99491461957,0,0,0,1
35,16.03130012892,C+1 H+4,"{'C': 1, 'H': 4}",16.03130012892,1,4,0,0
36,16.067685638270003,C+2 H+8 O-1,"{'C': 2, 'H': 8, 'O': -1}",48.05751487741,2,8,0,-1
37,17.97417917468,C+1 H+2 O-2,"{'C': 1, 'H': 2, 'O': -2}",46.0054793036,1,2,0,-2
38,18.01056468403,H+2 O+1,"{'H': 2, 'O': 1}",18.01056468403,0,2,0,1
39,18.04695019338,C+1 H+6,"{'C': 1, 'H': 6}",18.04695019338,1,6,0,0
40,19.953443729790003,C+2 H+4 O-3,"{'C': 2, 'H': 4, 'O': -3}",76.01604398763001,2,4,0,-3
41,19.96869987108,C+2 H-4,"{'C': 2, 'H': -4}",28.03130012892,2,-4,0,0
42,19.98982923914,C+1 O-2,"{'C': 1, 'O': -2}",43.98982923914,1,0,0,-2
43,20.00508538043,C+3 O-1,"{'C': 3, 'O': -1}",51.99491461957,3,0,0,-1
44,20.02621474849,H+4 O+1,"{'H': 4, 'O': 1}",20.02621474849,0,4,0,1
45,20.06260025784,C+1 H+8,"{'C': 1, 'H': 8}",20.06260025784,1,8,0,0
46,21.98434993554,C+2 H-2,"{'C': 2, 'H': -2}",26.01565006446,2,-2,0,0
47,22.0054793036,C+1 H-2 O-2,"{'C': 1, 'H': -2, 'O': -2}",46.0054793036,1,-2,0,-2
48,22.02073544489,C+3 H+2 O-1,"{'C': 3, 'H': 2, 'O': -1}",54.01056468403,3,2,0,-1
